,genes
0,AADAC
1,AADACL3
2,AARS
3,ABCA13
4,ABCA7
5,ABCB1
6,ABCB8
7,ABCC5-AS1
8,ABL1
9,ABTB2
10,ACADM
11,ACOT11
12,ACOT9
13,ACSL5
14,ACSM1
15,ACTR3BP2
16,ACTR3BP5
17,ADAM28
18,ADAMTS15
19,ADAT1
20,ADCK5
21,ADIG
22,AFF2
23,AGMAT
24,AGO1
25,AIFM1
26,AIFM2
27,AIFM3
28,AIM2
29,AKAP2
30,AKT1
31,ALAD
32,ALAS1
33,ALDH16A1
34,ALDH1A1
35,ALDOC
36,ALG1L
37,ALG2
38,ALKBH8
39,AMACR
40,AMER1
41,AMHR2
42,ANAPC1
43,ANAPC4
44,ANAPC7
45,ANGEL1
46,ANKLE1
47,ANKRD20A19P
48,ANKRD34B
49,ANKRD54
50,ANXA3
51,ANXA9
52,AP4M1
53,APBB1IP
54,APEX1
55,APOBEC3B
56,AQP7P3
57,AREG
58,ARFIP1
59,ARG1
60,ARHGAP11A
61,ARHGAP9
62,ARHGEF19
63,ARL10
64,ARL2BP
65,ARL6IP4
66,ARL6IP5
67,ARMC2-AS1
68,ARMCX1
69,ARPC1A
70,ASAP1
71,ASH1L-AS1
72,ASMTL-AS1
73,ATE1-AS1
74,ATG16L1
75,ATG2A
76,ATG4D
77,ATG7
78,ATN1
79,ATP11C
80,ATP13A4-AS1
81,ATP1A3
82,ATP5J2
83,ATP6AP1
84,ATP6V0E1
85,ATP6V1D
86,ATXN10
87,ATXN7
88,AXL
89,B2M
90,B3GALNT1
91,B9D1
92,BAG1
93,BAHD1
94,BBS5
95,BCKDK
96,BCL11B
97,BCR
98,BDNF-AS
99,BEAN1
100,BGLT3
101,BIK
102,BIN2
103,BIN3
104,BLNK
105,BLVRA
106,BMS1P6
107,BOC
108,BSDC1
109,BST2
110,BVES-AS1
111,C11orf24
112,C11orf96
113,C12orf73
114,C14orf1
115,C14orf93
116,C15orf39
117,C15orf65
118,C16orf91
119,C17orf104
120,C17orf78
121,C1orf185
122,C1orf216
123,C1orf228
124,C1orf95
125,C1QTNF9B-AS1
126,C20orf173
127,C21orf119
128,C5AR2
129,C5orf34
130,C5orf66
131,C6orf100
132,C6orf211
133,C6orf25
134,C6orf89
135,C9orf106
136,CACNB3
137,CAD
138,CAMSAP1
139,CAPN15
140,CAPN6
141,CASC9
142,CASS4
143,CBWD3
144,CBWD6
145,CCDC107
146,CCDC113
147,CCDC129
148,CCDC134
149,CCDC146
150,CCDC150
151,CCDC28B
152,CCDC39
153,CCDC42
154,CCDC62
155,CCDC74A
156,CCL5
157,CCNC
158,CCR6
159,CCSER1
160,CCT2
161,CD300LD
162,CD40LG
163,CD53
164,CD63
165,CD69
166,CD8B
167,CD93
168,CD96
169,CDC123
170,CDC20
171,CDC26
172,CDC73
173,CDK17
174,CDK6
175,CEBPA
176,CEBPE
177,CECR5
178,CELA3A
179,CENPU
180,CEP350
181,CEP55
182,CEP57L1
183,CEP85L
184,CERCAM
185,CETN3
186,CETP
187,CFAP20
188,CFAP69
189,CFL1P1
190,CHD5
191,CHM
192,CHODL
193,CHRNA6
194,CHRNE
195,CIAPIN1
196,CIDECP
197,CIITA
198,CIRBP
199,CKB
200,CLDN4
201,CLEC5A
202,CLLU1OS
203,CLPS
204,CLPX
205,CLTB
206,CLU
207,CMC2
208,CNGA3
