,genes
0,AARS
1,ABCA13
2,ABCA7
3,ABCB1
4,ABCB8
5,ABL1
6,ABTB2
7,ACADM
8,ACOT11
9,ACOT9
10,ACSL5
11,ACSM1
12,ACSS1
13,ACTR3BP2
14,ACTR3BP5
15,ADAM28
16,ADAMTS15
17,ADAT1
18,ADCK5
19,ADIG
20,AFF2
21,AGMAT
22,AGO1
23,AIFM1
24,AIFM2
25,AIFM3
26,AIM2
27,AKAP2
28,AKT1
29,ALAS1
30,ALDH16A1
31,ALDH1A1
32,ALG2
33,ALKBH8
34,AMACR
35,AMER1
36,AMHR2
37,ANAPC1
38,ANAPC4
39,ANAPC7
40,ANGEL1
41,ANGPTL1
42,ANKLE1
43,ANKRD20A19P
44,ANKRD34B
45,ANKRD54
46,ANXA3
47,AP4M1
48,APBB1IP
49,APEX1
50,APOBEC3B
51,AQP7P3
52,AREG
53,ARFIP1
54,ARG1
55,ARHGAP11A
56,ARHGAP12
57,ARHGAP9
58,ARHGEF19
59,ARL10
60,ARL2BP
61,ARL6IP4
62,ARL6IP5
63,ARMC2-AS1
64,ARMCX1
65,ARPC1A
66,ASAP1
67,ASH1L-AS1
68,ASMTL-AS1
69,ATE1-AS1
70,ATG16L1
71,ATG2A
72,ATG7
73,ATN1
74,ATP11C
75,ATP13A4-AS1
76,ATP1A3
77,ATP6AP1
78,ATP6V0E1
79,ATP6V1D
80,ATXN10
81,ATXN7
82,AXL
83,B2M
84,B3GALNT1
85,B9D1
86,BAG1
87,BAHD1
88,BATF2
89,BBS5
90,BCKDK
91,BCL11B
92,BCR
93,BDNF-AS
94,BEAN1
95,BGLT3
96,BIK
97,BIN2
98,BIN3
99,BLNK
100,BLVRA
101,BMS1P6
102,BOC
103,BPIFB3
104,BRWD1-IT2
105,BSDC1
106,BST2
107,BVES-AS1
108,C11orf24
109,C11orf96
110,C12orf73
111,C14orf1
112,C14orf93
113,C15orf39
114,C15orf65
115,C16orf91
116,C17orf104
117,C17orf78
118,C1orf185
119,C1orf216
120,C1orf228
121,C1QTNF9B-AS1
122,C20orf173
123,C21orf119
124,C5AR2
125,C5orf34
126,C5orf66
127,C6orf100
128,C6orf211
129,C6orf25
130,C6orf89
131,C9orf106
132,C9orf40
133,CACNB3
134,CAD
135,CAMSAP1
136,CAPN15
137,CAPN6
138,CASC9
139,CASS4
140,CBWD6
141,CCDC107
142,CCDC113
143,CCDC129
144,CCDC134
145,CCDC146
146,CCDC150
147,CCDC28B
148,CCDC42
149,CCDC62
150,CCDC74A
151,CCL5
152,CCR4
153,CCR6
154,CCSER1
155,CCT2
156,CD300LD
157,CD40LG
158,CD53
159,CD63
160,CD69
161,CD8B
162,CD93
163,CD96
164,CDC123
165,CDC20
166,CDC26
167,CDC73
168,CDK17
169,CDK6
170,CEBPA
171,CECR5
172,CELA3A
173,CENPU
174,CEP350
175,CEP55
176,CEP57L1
177,CEP85L
178,CERCAM
179,CETN3
180,CETP
181,CFAP69
182,CFL1P1
183,CHD5
184,CHM
185,CHODL
186,CHRNA6
187,CHRNE
188,CIAPIN1
189,CIDECP
190,CIRBP
191,CKB
192,CLEC2L
193,CLEC5A
194,CLLU1OS
195,CLPS
196,CLPX
197,CLTB
198,CLU
199,CMC2
200,CNGA3
201,CNTFR
202,CNTLN
203,COL19A1
204,COL2A1
205,COL4A5
206,COL6A5
207,COMMD1
208,COMMD9
209,COQ7
210,COX11
211,COX8A
212,CPNE1
213,CPNE7
214,CPS1
215,CREB5
216,CREBRF
217,CRHBP
218,CRHR1
219,CRIP1
220,CRY1
221,CRYBA1
222,CRYBB3
223,CS
224,CSF2
225,CSNK1A1P1
226,CTAGE11P
227,CTNS
228,CTPS1
229,CWC22
230,CWC27
231,CXCR1
232,CYP11B1
233,CYP4A11
234,CYP7B1
235,DAAM2
236,DAB1
237,DARS
238,DARS-AS1
239,DAZAP2
240,DBNL
241,DCAF12L1
242,DCDC2
243,DCTD
244,DDO
245,DDX1
246,DEFB122
247,DEK
248,DEPDC1-AS1
249,DGUOK-AS1
250,DHCR24
251,DHX34
252,DHX9
253,DIAPH2
254,DIAPH2-AS1
255,DIP2A-IT1
256,DIRAS1
257,DKKL1
258,DLAT
259,DLEU7-AS1
260,DLGAP1-AS5
261,DLX2
262,DLX5
263,DMGDH
264,DNAJC13
265,DNAJC4
266,DNAJC7
267,DND1
268,DNMT3B
269,DOCK8
270,DONSON
271,DPEP3
272,DPP3
273,DPPA3
274,DPT
275,DPY30
276,DPYD-AS1
277,DRAP1
278,DRD5P2+LOC101060524
279,DUOX1
280,DUSP23
281,DUXAP8
282,DYNC1I2
283,DYNC2LI1
284,EBF1
285,EDAR
286,EDNRB
287,EED
288,EFCAB9
289,EFNB3
290,EGFEM1P
291,EGFL6
292,EGR4
293,EIF1
294,EIF3IP1
295,EIF3L
296,EIF4B
297,ELFN1-AS1
298,ELK4
299,EMILIN1
300,EPB41L2
301,EPB42
302,EPOR
303,ERGIC2
304,ERI2
305,ERICH5
306,ERLEC1
307,ESYT1
308,EXD2
309,EXOSC6
310,F11
311,FADS3
312,FAM102A
313,FAM111B
314,FAM117B
315,FAM120AOS
316,FAM138D
317,FAM138E
318,FAM161B
319,FAM166B
320,FAM167A
321,FAM178B
322,FAM213B
323,FAM217A
324,FAM24B
325,FAM24B-CUZD1
326,FAM47E
327,FAM66D
328,FAM74A3
329,FAM78B
330,FAM83A
331,FAM86A
332,FAM86HP
333,FAM8A1
334,FAR2P2
335,FAS-AS1
336,FATE1
337,FBLN2
338,FBXO24
339,FBXO36
340,FBXO42
341,FGD4
342,FGF6
343,FHL1
344,FIP1L1
345,FLG
346,FLJ22763
347,FLJ26850
348,FLJ35934
349,FMO1
350,FMO4
351,FMR1NB
352,FNBP1
353,FNBP1L
354,FNTB
355,FOS
356,FOXD2
357,FRAT2
358,FRMD3
359,FRY
360,FST
361,FTH1
362,FTH1P3
363,FUT11
364,FXN
365,FXYD1
366,FZD4
367,GABARAP
368,GABRA2
369,GABRP
370,GADD45B
371,GAL
372,GALK2
373,GALNS
374,GALNT18
375,GAP43
376,GAPDH
377,GAS2
378,GATA5
379,GATA6
380,GDNF
381,GEN1
382,GFOD1
383,GFRA4
384,GGH
385,GGN
386,GGPS1
387,GGT1
388,GGT3P
389,GINS1
390,GIPC2
391,GLIPR2
392,GLRX
393,GMPPB
394,GNAI1
395,GNAS-AS1
396,GNPNAT1
397,GOLGA2P7
398,GOLGA8A
399,GOLGA8DP
400,GP6
401,GP9
402,GPAT2
403,GPC3
404,GPN1
405,GPR176
406,GPS2
407,GPX3
408,GRAMD4
409,GRAP
410,GRB2
411,GRIK1-AS1
412,GRK4
413,GRPEL1
414,GSTO1
415,GSTO2
416,GTF2A1
417,GTF2A2
418,GTF2I
419,GTF3C1
420,GTF3C2
421,GTF3C2-AS1
422,GTF3C3
423,GZMA
424,H2AFY
425,HADH
426,HAGHL
427,HAS2-AS1
428,HAUS4
429,HBBP1
430,HCN2
431,HDDC3
432,HECA
433,HEG1
434,HENMT1
435,HERC2
436,HERC2P3
437,HEXIM1
438,HGC6.3
439,HHLA3
440,HIC1
441,HIF1A
442,HINT2
443,HIRIP3
444,HIST1H2BA
445,HIVEP1
446,HLA-DMA
447,HLA-DMB
448,HLA-DRA
449,HLA-DRB1
450,HLA-DRB6
451,HLA-G
452,HMGN2
453,HMGN2P46
454,HNF4A-AS1
455,HNRNPA3P1
456,HNRNPH2
457,HNRNPM
458,HOPX
459,HOXB2
460,HOXC4
461,HPGD
462,HRH2
463,HSD11B2
464,HSFX2
465,HSPA13
466,HSPA14
467,HSPA2
468,HSPA8
469,HSPB7
470,HTRA2
471,HYAL2
472,ICAM4
473,IDH1
474,IDI2-AS1
475,IER3
476,IFITM1
477,IFITM2
478,IGF1R
479,IGFBP7
480,IKBKE
481,IKZF1
482,IKZF4
483,IL12RB2
484,IL17B
485,IL1RAP
486,IL22RA2
487,IL2RG
488,ILF2
489,INADL
490,ING1
491,ING3
492,INMT-FAM188B
493,INTS6
494,IQCA1
495,IRF2
496,ITFG2
497,ITGA3
498,ITGA6
499,ITIH3
500,ITM2A
501,ITM2B
502,ITPKB-IT1
503,JAK3
504,JAKMIP3
505,JARID2
506,JAZF1-AS1
507,KANK1
508,KARS
509,KATNB1
510,KCNC2
511,KCNIP1
512,KCNIP3
513,KCNJ15
514,KCNK2
515,KCNK5
516,KCNMA1-AS2
517,KCNMB4
518,KCNQ5-AS1
519,KCNT1
520,KDM4B
521,KIAA0040
522,KIAA0125
523,KIAA0247
524,KIAA0319L
525,KIAA0754
526,KIAA1211
527,KIAA1551
528,KIAA1586
529,KIAA1656
530,KIF11
531,KIF15
532,KIF1A
533,KIF20A
534,KIF20B
535,KIF21B
536,KIN
537,KIRREL3
538,KISS1R
539,KIZ
540,KLHL22
541,KLHL35
542,KLHL9
543,KLK3
544,KLRG1
545,KMT2E
546,KPNA2
547,KPRP
548,KRT4
549,KRT5
550,KRT85
551,KRTAP10-11
552,KRTAP10-2
553,KRTAP5-7
554,L3MBTL3
555,LAMA2
556,LAMC3
557,LARP1
558,LCT
559,LEPR
560,LGALS8-AS1
561,LGALS9C
562,LGMN
563,LGSN
564,LILRA3
565,LILRA6
566,LINC-ROR
567,LINC00189
568,LINC00297
569,LINC00304
570,LINC00333
571,LINC00343
572,LINC00348
573,LINC00486
574,LINC00491
575,LINC00571
576,LINC00592
577,LINC00597
578,LINC00693
579,LINC00840
580,LINC00854
581,LINC00906
582,LINC00910
583,LINC00970
584,LINC01150
585,LINC01163
586,LINC01170
587,LINC01257
588,LINC01278
589,LIPE-AS1
590,LIPF
591,LIX1
592,LL22NC01-81G9.3
593,LMNA
594,LMO3
595,LOC100093631
596,LOC100128568
597,LOC100129940
598,LOC100130987
599,LOC100131564
600,LOC100132078
601,LOC100133315
602,LOC100289656
603,LOC100422556
604,LOC100505915
605,LOC100506159
606,LOC100506178
607,LOC100506325
608,LOC100506585
609,LOC100507377
610,LOC100507600
611,LOC100996579
612,LOC100996876
613,LOC101926935
614,LOC101927100
615,LOC101927102
616,LOC101927136
617,LOC101927472
618,LOC101927492
619,LOC101927666
620,LOC101927667
621,LOC101927811
622,LOC101927829
623,LOC101927830+TMLHE-AS1
624,LOC101928068
625,LOC101928134
626,LOC101928161
627,LOC101928336
628,LOC101928569
629,LOC101928618
630,LOC101928710
631,LOC101929099
632,LOC101929224
633,LOC101929234
634,LOC102723385
635,LOC102724190
636,LOC102724297
637,LOC102724555
638,LOC102724604
639,LOC102800447
640,LOC285692
641,LOC285762
642,LOC400684
643,LOC440416
644,LOC440446
645,LOC645354+LOC649324
646,LOC646626
647,LOC729930
648,LOC729950
649,LOC731157
650,LOC81691
651,LOC93622
652,LOXL1
653,LPAR1
654,LPXN
655,LRIG2
656,LRIG3
657,LRMP
658,LRRC23
659,LRRC25
660,LRRC42
661,LRRC4C
662,LRRN3
663,LTB4R2
664,LUC7L2
665,LXN
666,LYPD5
667,LYPLAL1
668,LYRM7
669,MAEL
670,MAGED2
671,MAK
672,MAMDC2
673,MAN1A2
674,MAN2A1
675,MAN2A2
676,MANF
677,MAP1LC3A
678,MAP1S
679,MAP2K2
680,MAP3K5
681,MAP6D1
682,MAPK1
683,MARC1
684,MARCKS
685,MARS2
686,MAS1
687,MATN2
688,MBOAT7
689,MC1R
690,MC2R
691,MCTP2
692,MCTS2P
693,MDK
694,MDM4
695,MEAF6
696,MEDAG
697,MEIS1
698,MESDC1
699,MESP2
700,MESTIT1
701,METTL23
702,MFSD10
703,MFSD3
704,MICU1
705,MIEF2
706,MIPEPP3
707,MIPOL1
708,MIR1231
709,MIR1249
710,MIR125B2
711,MIR1284
712,MIR155HG
713,MIR24-2
714,MIR25
715,MIR26A2
716,MIR3140
717,MIR3146
718,MIR3690
719,MIR3692
720,MIR3978
721,MIR4280
722,MIR4422
723,MIR4482
724,MIR4639
725,MIR4673
726,MIR4791
727,MIR5047
728,MIR5090
729,MIR5188
730,MIR548H2
731,MIR558
732,MIR591
733,MIR601
734,MIR604
735,MIR6132
736,MIR6719
737,MIR6727
738,MIR6753
739,MIR6813
740,MIR6859-1+MIR6859-2
741,MIR6865
742,MIR6869
743,MIR6876
744,MIR8066
745,MIR8071-1+MIR8071-2
746,MIRLET7A2
747,MIRLET7I
748,MLLT4
749,MLST8
750,MOAP1
751,MORN2
752,MORN3
753,MPL
754,MPO
755,MROH8
756,MRPL15
757,MRPL16
758,MRPL19
759,MRPL20
760,MRPL23
761,MRPL32
762,MRPL38
763,MRPL42
764,MRPS12
765,MRPS28
766,MRRF
767,MSH6
768,MSL1
769,MT1G
770,MT1IP
771,MT2A
772,MTA3
773,MTERF4
774,MTOR-AS1
775,MVB12B
776,MVK
777,MYH13
778,MYO1B
779,MYOD1
780,NAA10
781,NAA15
782,NAA40
783,NACA
784,NALCN
785,NAV3
786,NBEAL1
787,NBEAP1
788,NCAPG
789,NCAPH
790,NCF1C
791,NCF4
792,NCL
793,NCOA4
794,NDUFA1
795,NDUFAF6
796,NDUFB5
797,NDUFB6
798,NEDD1
799,NEURL1
800,NFIB
801,NFIL3
802,NID1
803,NIF3L1
804,NIFK-AS1
805,NIPSNAP3A
806,NISCH
807,NKAIN2
808,NKAPL
809,NLRP9
810,NME1
811,NOL12
812,NOL6
813,NOP10
814,NOSIP
815,NOVA2
816,NOX1
817,NOXO1
818,NPAS1
819,NR0B2
820,NR1H3
821,NR1I2
822,NR1I3
823,NRARP
824,NRF1
825,NRN1
826,NSFL1C
827,NSL1
828,NSUN5
829,NT5DC2
830,NTN4
831,NTSR1
832,NUCB2
833,NUCKS1
834,NUDT19
835,NUP133
836,NUP210
837,NUTF2
838,NUTM2F
839,NVL
840,NXT1
841,OASL
842,OAZ1
843,OR1K1
844,OR1Q1
845,OR2C1
846,OR2Z1
847,OR4E2
848,OR51S1
